date,meal,food,quant,calories,carbs,fat,protein,sodium,sugar
2024-03-16,breakfast,"Galia - Melon, 80 g - 1/4 melon",80,30.0,7.0,0.0,1.0,15.0,7.0
2024-03-16,breakfast,"Aquilea - Magnesio + Potasio, 1 Pastilla",1,10.0,0.0,0.0,0.0,0.0,0.0
2024-03-16,lunch,"Arroz Blanco - Arroz Blanco Cocido, 120 gram",120,223.0,48.0,0.0,5.0,629.0,0.0
2024-03-16,lunch,"Kimchi, 1 cup",1,23.0,4.0,1.0,2.0,747.0,2.0
2024-03-16,lunch,"Tofu, 3 ounce",3,40.0,1.0,2.0,4.0,2.0,0.0
2024-03-16,lunch,"Huevo Frito Mediano (50g) - Huevo Frito, 1 huevo",1,116.0,1.0,10.0,7.0,86.0,0.0
2024-03-16,lunch,"Pollo Frito Dulce Y Picante Coreano, 1 medium drumstick",1,219.0,14.0,13.0,12.0,520.0,7.0
2024-03-16,lunch,"hacendado - costilla vaca, 180 gramo",180,475.0,1.0,41.0,27.0,0.0,0.0
2024-03-16,dinner,"Ensaladilla: - Ensaladilla Rusa, 100 gr",100,190.0,8.0,15.0,5.0,120.0,3.0
2024-03-16,dinner,"Supersol - Tortilla De Patatas, 600 g",600,810.0,90.0,36.0,24.0,0.0,0.0
2024-03-16,dinner,"Pan - Pan Blanco ✓, 40 g",40,104.0,20.0,1.0,3.0,240.0,2.0
2024-03-16,snacks,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-16,snacks,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-17,breakfast,"Supersol - Tortilla De Patatas, 120 g",120,162.0,18.0,7.0,5.0,0.0,0.0
2024-03-17,breakfast,"Picos Integrales - Dia Picos, 10 g. (6 uds)",10,38.0,8.0,0.0,1.0,0.0,0.0
2024-03-17,lunch,"Generic - Chopitos, 75 gr",75,146.0,7.0,7.0,13.0,348.0,1.0
2024-03-17,lunch,"Damm - Free Damm 0,0, 33 cl",33,63.0,15.0,0.0,1.0,0.0,5.0
2024-03-17,lunch,"Homemade - Patatas Fritas, 75 gr",75,195.0,14.0,15.0,2.0,113.0,0.0
2024-03-17,lunch,"Chistorra Gesalaga - Chistorra, 30 gramo",30,143.0,1.0,14.0,4.0,1.0,0.0
2024-03-17,lunch,"Huevo Frito Mediano (50g) - Huevo Frito, 0.5 huevo",0.5,58.0,1.0,5.0,4.0,43.0,0.0
2024-03-17,lunch,"Pan - Pan Blanco ✓, 40 g",40,104.0,20.0,1.0,3.0,240.0,2.0
2024-03-17,lunch,"Casero - Paella De Marisco, 180 gr",180,252.0,47.0,4.0,10.0,0.0,0.0
2024-03-17,lunch,"Chovi - Alioli, 8 gr",8,60.0,0.0,7.0,0.0,42.0,0.0
2024-03-17,dinner,"Muslo Pollo - Muslo Pollo, 3 Cuarto",3,453.0,0.0,18.0,72.0,0.0,0.0
2024-03-17,dinner,"Ensaladilla: - Ensaladilla Rusa, 100 gr",100,190.0,8.0,15.0,5.0,120.0,3.0
2024-03-17,snacks,"226ers - Vegan Recovery Drink Vainilla, 50 gr",50,198.0,21.0,3.0,22.0,600.0,1.0
2024-03-17,snacks,"Silueta - Pan integral cereales sin corteza, 28 gramo",28,68.0,11.0,1.0,4.0,0.0,0.0
2024-03-17,snacks,"Ensaladilla: - Ensaladilla Rusa, 60 gr",60,114.0,5.0,9.0,3.0,72.0,2.0
2024-03-17,snacks,"Supersol - Tortilla De Patatas, 120 g",120,162.0,18.0,7.0,5.0,0.0,0.0
2024-03-18,breakfast,"Silueta - Pan integral cereales sin corteza, 56 gramo",56,136.0,22.0,2.0,7.0,0.0,0.0
2024-03-18,breakfast,"Ensaladilla: - Ensaladilla Rusa, 100 gr",100,190.0,8.0,15.0,5.0,120.0,3.0
2024-03-18,breakfast,"Biotech Usa - Iso Whey Zero, 50 grammi",50,186.0,3.0,1.0,42.0,0.0,0.0
2024-03-18,breakfast,"creatina - monohidrato de creatina, 4 g",4,0.0,0.0,0.0,4.0,0.0,0.0
2024-03-18,lunch,"Zanahorias Asadas, 1.5 taza",1.5,163.0,21.0,9.0,2.0,860.0,10.0
2024-03-18,lunch,"crema calabaza - crema calabaza, 1 taza",1,212.0,5.0,20.0,21.0,0.0,3.0
2024-03-18,lunch,"Homemade - Bonito A La Plancha, 180 gr",180,275.0,0.0,11.0,44.0,70.0,0.0
2024-03-18,lunch,"piña - Piña, 60 gram",60,30.0,8.0,0.0,0.0,1.0,6.0
2024-03-18,dinner,"Mahou - 0,0 Tostada, 330 ml",330,86.0,20.0,0.0,1.0,0.0,11.0
2024-03-18,dinner,"Generic - Vino Tinto, 1 Copa 150 Cc., 0.8 copa 150 gr.",0.8,86.0,0.0,0.0,0.0,5.0,0.0
2024-03-18,dinner,"Pan - Pan Blanco ✓, 25 g",25,65.0,13.0,0.0,2.0,150.0,1.0
2024-03-18,dinner,"Piparras Amanida - Piparras dulces, 30 gramo",30,5.0,1.0,0.0,0.0,300.0,0.0
2024-03-18,dinner,"Aceitunas - Aceitunas Pack 5, 3 olives",3,15.0,1.0,2.0,0.0,144.0,0.0
2024-03-18,dinner,"alsur - ensalada de pimientos, 80 grs",80,41.0,8.0,0.0,1.0,0.0,0.0
2024-03-18,dinner,"Casero - Paella De Marisco, 80 gr",80,112.0,21.0,2.0,4.0,0.0,0.0
2024-03-18,dinner,"Rodaballo - Rodaballo A La Plancha, 170 gr",170,173.0,3.0,6.0,27.0,187.0,0.0
2024-03-18,dinner,"Escarola Lucas - Escarola, 50 g",50,11.0,2.0,0.0,1.0,5.0,0.0
2024-03-18,dinner,"Jamon Serrano - Jamon Serrano Bellota, 40 gr",40,97.0,0.0,6.0,11.0,0.0,0.0
2024-03-18,dinner,"anchoa - conserva, 0.5 lata",0.5,31.0,0.0,2.0,4.0,0.0,0.0
2024-03-19,breakfast,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-19,breakfast,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-19,breakfast,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-19,lunch,"Ensalada Pollo Ofi, 1 serving",1,759.0,8.0,60.0,46.0,68.0,1.0
2024-03-19,dinner,"Homemade - Bocadillo De Atún, 1 bocadillo",1,740.0,120.0,5.0,25.0,1440.0,0.0
2024-03-19,snacks,"Maurten - Gel100, 80 gramos",80,200.0,50.0,0.0,0.0,170.0,50.0
2024-03-19,snacks,"creatina - monohidrato de creatina, 4 g",4,0.0,0.0,0.0,4.0,0.0,0.0
2024-03-20,breakfast,"Roig - Clara de huevo, 30 gr",30,15.0,0.0,0.0,3.0,0.0,0.0
2024-03-20,breakfast,"huevo - Huevo Entero, 1 pieza",1,78.0,1.0,5.0,6.0,0.0,0.0
2024-03-20,breakfast,"pan de semillas - pan semillas, 100 gramos",100,286.0,47.0,7.0,7.0,536.0,0.0
2024-03-20,breakfast,"Jamon de pavo - Jamon, 5 rebanada",5,180.0,3.0,7.0,25.0,1580.0,2.0
2024-03-20,breakfast,"Aceite oliva - Aceite, 0.4 cucharada (14gr)",0.4,50.0,0.0,6.0,0.0,0.0,0.0
2024-03-20,breakfast,"tomate rallado natural - tomate rallado natural, 2 rebanada",2,38.0,7.0,1.0,0.0,0.0,0.0
2024-03-20,lunch,"Galia - Melon, 80 g - 1/4 melon",80,30.0,7.0,0.0,1.0,15.0,7.0
2024-03-20,lunch,"Estofado De Ternera - Estofado De Ternera, 0.75 plato (400g)",0.75,375.0,11.0,23.0,31.0,869.0,1.0
2024-03-20,lunch,"DEHESAELMILAGRO.COM - Potaje De Garbanzos, 300 gramo",300,303.0,42.0,10.0,13.0,1.0,7.0
2024-03-20,dinner,"Pans and Company - Bocadillo Jamon Serrano, 125 gr",125,600.0,70.0,20.0,34.0,0.0,0.0
2024-03-20,dinner,"Jeff's Spaghetti Bolognese - Spaghetti Bolognese, 150 gm",150,293.0,22.0,15.0,15.0,212.0,0.0
2024-03-21,breakfast,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-21,breakfast,"Biotech Usa - Iso Whey Zero, 50 grammi",50,186.0,3.0,1.0,42.0,0.0,0.0
2024-03-21,breakfast,"Plátano - Platano, 1 pieza",1,105.0,27.0,0.0,1.0,0.0,14.0
2024-03-21,breakfast,"creatina - monohidrato de creatina, 4 g",4,0.0,0.0,0.0,4.0,0.0,0.0
2024-03-21,lunch,"Ensalada Polllo Ofi Bain, 1.2 serving",1.2,667.0,29.0,42.0,45.0,80.0,8.0
